#options: 592x352 fps=3/1 timebase=1/3 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=3 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=8 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:75 out:77 type:b dur:2 cpbdur:2 q:41.23 aq:44.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:40.80 aq:44.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:- ref:0 ;
in:82 out:79 type:P dur:2 cpbdur:2 q:39.05 aq:29.94 tex:4762 mv:293 misc:521 imb:3 pmb:99 smb:712 d:s ref:0 ;
in:80 out:80 type:B dur:2 cpbdur:2 q:39.81 aq:41.00 tex:0 mv:2 misc:150 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:40.19 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:39.43 aq:42.00 tex:1 mv:16 misc:135 imb:0 pmb:2 smb:812 d:- ref:0 ;
in:86 out:83 type:P dur:2 cpbdur:2 q:38.15 aq:28.20 tex:12702 mv:578 misc:824 imb:9 pmb:235 smb:570 d:s ref:0 ;
in:84 out:84 type:B dur:2 cpbdur:2 q:38.60 aq:39.00 tex:34 mv:98 misc:188 imb:0 pmb:12 smb:802 d:t ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:38.83 aq:42.00 tex:0 mv:3 misc:133 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:38.38 aq:41.00 tex:0 mv:5 misc:131 imb:0 pmb:2 smb:812 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:38.84 aq:32.08 tex:2354 mv:224 misc:302 imb:2 pmb:43 smb:769 d:s ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:38.50 aq:39.00 tex:27 mv:40 misc:165 imb:0 pmb:5 smb:809 d:t ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:38.32 aq:41.00 tex:0 mv:3 misc:133 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:38.67 aq:41.00 tex:0 mv:17 misc:135 imb:0 pmb:2 smb:812 d:- ref:0 ;
in:92 out:91 type:P dur:2 cpbdur:2 q:37.51 aq:27.58 tex:15927 mv:595 misc:926 imb:12 pmb:329 smb:473 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:38.18 aq:41.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:36.55 aq:26.70 tex:21504 mv:660 misc:916 imb:9 pmb:403 smb:402 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:37.03 aq:37.22 tex:274 mv:121 misc:181 imb:0 pmb:12 smb:802 d:t ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:37.27 aq:40.00 tex:1 mv:7 misc:144 imb:0 pmb:3 smb:811 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:36.79 aq:40.00 tex:1 mv:32 misc:151 imb:0 pmb:4 smb:810 d:- ref:0 ;
in:98 out:97 type:P dur:2 cpbdur:2 q:40.55 aq:37.33 tex:173 mv:43 misc:168 imb:0 pmb:7 smb:807 d:s ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:38.55 aq:41.00 tex:0 mv:2 misc:134 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:40.49 aq:36.86 tex:415 mv:36 misc:157 imb:0 pmb:7 smb:807 d:s ref:0 ;
in:101 out:100 type:P dur:2 cpbdur:2 q:40.16 aq:37.59 tex:545 mv:62 misc:193 imb:0 pmb:12 smb:802 d:s ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:40.32 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:104 out:102 type:P dur:2 cpbdur:2 q:39.49 aq:36.52 tex:1249 mv:100 misc:171 imb:2 pmb:13 smb:799 d:s ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:39.72 aq:42.00 tex:0 mv:9 misc:127 imb:0 pmb:1 smb:813 d:t ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:39.94 aq:43.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:38.66 aq:29.67 tex:1222 mv:75 misc:207 imb:0 pmb:18 smb:796 d:s ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:38.27 aq:25.64 tex:716 mv:89 misc:219 imb:3 pmb:12 smb:799 d:s ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:37.87 aq:31.74 tex:2868 mv:225 misc:251 imb:0 pmb:39 smb:775 d:s ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:38.07 aq:40.41 tex:57 mv:36 misc:179 imb:0 pmb:8 smb:806 d:s ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:38.17 aq:41.00 tex:0 mv:3 misc:133 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:37.97 aq:41.00 tex:0 mv:24 misc:144 imb:0 pmb:4 smb:810 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:37.14 aq:28.78 tex:4155 mv:237 misc:448 imb:0 pmb:76 smb:738 d:s ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:37.51 aq:38.00 tex:50 mv:43 misc:163 imb:0 pmb:8 smb:806 d:s ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:37.69 aq:40.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:37.33 aq:40.00 tex:1 mv:28 misc:155 imb:0 pmb:5 smb:809 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:36.27 aq:25.94 tex:12481 mv:443 misc:812 imb:10 pmb:222 smb:582 d:s ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:36.71 aq:40.19 tex:89 mv:62 misc:169 imb:0 pmb:9 smb:805 d:s ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:36.93 aq:41.59 tex:49 mv:52 misc:131 imb:0 pmb:3 smb:811 d:s ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:36.49 aq:39.00 tex:1 mv:9 misc:150 imb:0 pmb:4 smb:810 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:36.84 aq:29.32 tex:4836 mv:306 misc:402 imb:2 pmb:72 smb:740 d:s ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:36.55 aq:37.88 tex:415 mv:120 misc:201 imb:0 pmb:20 smb:794 d:t ref:0 ;
